"","Week_Key","Count_CDR_OPIE_ID","PHE_Region_Cd","nw_age_grp"
"82",201306,1,"UKE",".[45-64]"
"83",201741,1,"UKI",".[25-44]"
"84",201747,4,"UKK",".[65+"
"85",201902,3,"UKG",".[65+"
"86",201606,3,"UKF",".[65+"
"87",201812,1,"UKE",".[45-64]"
"88",201711,1,"UKE",".[05-14]"
"89",201342,10,"UKK",".[00-04]"
"90",201347,6,"UKE",".[65+"
"91",201645,1,"UKK",".[45-64]"
"92",201409,2,"UKI",".[65+"
"93",201402,7,"UKI",".[65+"
"94",201413,1,"UKK",".[65+"
"95",201526,1,"UKH",".[65+"
"96",201708,1,"UKK",".[45-64]"
"97",201538,3,"UKD",".[65+"
"98",201426,2,"UKE",".[65+"
"99",201611,1,"UKF",".[65+"
"100",201515,4,"UKK",".[65+"
"101",201647,2,"UKD",".[00-04]"
"102",201502,2,"UKE",".[65+"
"103",201322,2,"UKE",".[65+"
"104",201553,1,"UKK",".[45-64]"
"105",201843,3,"UKJ",".[00-04]"
"106",201522,2,"UKH",".[00-04]"
"107",201435,1,"UKK",".[25-44]"
"108",201545,3,"UKJ",".[65+"
"109",201402,1,"UKG",".[45-64]"
"110",201525,1,"UKH",".[00-04]"
"111",201701,4,"UKD",".[65+"
"112",201707,3,"UKE",".[25-44]"
"113",201402,1,"UKK",".[65+"
"115",201634,1,"UKK",".[25-44]"
"116",201906,2,"UKK",".[25-44]"
"117",201307,1,"UKI",".[15-24]"
"118",201834,1,"UKF",".[45-64]"
"119",201611,1,"UKH",".[25-44]"
"120",201911,1,"UKH",".[25-44]"
"121",201314,7,"UKK",".[65+"
"122",201902,1,"UKE",".[45-64]"
"123",201516,1,"UKI",".[45-64]"
"124",201317,1,"UKF",".[65+"
"125",201609,1,"UKH",".[15-24]"
"126",201804,1,"UKK",".[45-64]"
"127",201706,4,"UKG",".[65+"
"128",201507,1,"UKK",".[05-14]"
"129",201609,1,"UKI",".[45-64]"
"130",201311,2,"UKE",".[25-44]"
"131",201807,1,"UKI",".[25-44]"
"132",201611,7,"UKK",".[65+"
"133",201320,1,"UKD",".[00-04]"
"134",201346,1,"UKK",".[05-14]"
"135",201424,7,"UKK",".[00-04]"
"136",201546,2,"UKE",".[65+"
"137",201619,2,"UKH",".[65+"
"138",201845,1,"UKK",".[45-64]"
"139",201821,1,"UKC",".[65+"
"140",201907,1,"UKI",".[05-14]"
"141",201729,5,"UKE",".[65+"
"142",201714,1,"UKE",".[05-14]"
"143",201913,4,"UKJ",".[65+"
"144",201637,1,"UKG",".[45-64]"
"145",201609,1,"UKI",".[45-64]"
"146",201614,9,"UKH",".[65+"
"147",201541,1,"UKC",".[00-04]"
"148",201531,1,"UKH",".[65+"
"149",201716,1,"UKK",".[45-64]"
"150",201446,1,"UKJ",".[65+"
"151",201510,1,"UKK",".[45-64]"
"152",201537,1,"UKI",".[05-14]"
"153",201636,5,"UKI",".[00-04]"
"154",201413,3,"UKJ",".[00-04]"
"155",201350,1,"UKH",".[45-64]"
"156",201526,1,"UKI",".[45-64]"
"157",201645,3,"UKH",".[65+"
"158",201601,1,"UKF",".[05-14]"
"159",201352,1,"UKJ",".[65+"
"160",201813,11,"UKG",".[65+"
"161",201406,1,"UKF",".[25-44]"
"162",201644,1,"UKD",".[15-24]"
"163",201843,1,"UKK",".[25-44]"
"164",201401,1,"UKI",".[25-44]"
"165",201823,2,"UKI",".[00-04]"
"166",201348,2,"UKG",".[65+"
"167",201322,1,"UKD",".[00-04]"
"168",201748,1,"UKE",".[65+"
"169",201930,1,"UKF",".[05-14]"
"170",201940,2,"UKI",".[25-44]"
"171",201649,1,"UKD",".[25-44]"
"172",201306,3,"UKJ",".[65+"
"173",201907,3,"UKK",".[65+"
"174",201445,3,"UKE",".[65+"
"175",201411,1,"UKH",".[45-64]"
"176",201502,2,"UKF",".[65+"
"177",201649,1,"UKI",".[05-14]"
"178",201819,1,"UKD",".[65+"
"179",201625,3,"UKK",".[65+"
"180",201418,2,"UKH",".[45-64]"
"181",201740,2,"UKF",".[25-44]"
"182",201450,1,"UKI",".[45-64]"
"183",201553,1,"UKE",".[00-04]"
"184",201909,1,"UKH",".[45-64]"
"185",201636,1,"UKK",".[65+"
"186",201929,2,"UKH",".[65+"
"187",201544,4,"UKE",".[65+"
"188",201710,2,"UKJ",".[65+"
"189",201326,1,"UKI",".[65+"
"190",201412,1,"UKE",".[65+"
"191",201647,1,"UKF",".[65+"
"192",201450,3,"UKJ",".[00-04]"
"193",201315,20,"UKK",".[65+"
"194",201806,1,"UKF",".[45-64]"
"195",201810,1,"UKG",".[65+"
"196",201809,1,"UKH",".[65+"
"197",201546,1,"UKJ",".[65+"
"198",201804,4,"UKH",".[65+"
"199",201747,3,"UKK",".[65+"
"200",201433,1,"UKD",".[65+"
"201",201418,1,"UKK",".[25-44]"
"202",201749,2,"UKF",".[65+"
"203",201702,1,"UKF",".[45-64]"
"204",201648,1,"UKI",".[65+"
"205",201917,1,"UKK",".[45-64]"
"206",201506,8,"UKF",".[65+"
"207",201535,1,"UKD",".[45-64]"
"208",201908,4,"UKE",".[00-04]"
"209",201716,1,"UKG",".[65+"
"210",201907,1,"UKG",".[65+"
"211",201823,1,"UKH",".[15-24]"
"212",201708,4,"UKK",".[00-04]"
"214",201615,1,"UKF",".[25-44]"
"215",201310,1,"UKC",".[45-64]"
"216",201551,7,"UKE",".[65+"
"217",201317,2,"UKD",".[00-04]"
"218",201422,1,"UKG",".[65+"
"219",201424,1,"UKG",".[65+"
"220",201502,1,"UKD",".[45-64]"
"221",201937,2,"UKI",".[65+"
"222",201609,3,"UKH",".[65+"
"223",201647,1,"UKK",".[05-14]"
"224",201321,1,"UKF",".[65+"
"225",201317,4,"UKK",".[65+"
"226",201303,2,"UKC",".[65+"
"227",201708,3,"UKC",".[65+"
"228",201448,2,"UKK",".[65+"
"229",201420,5,"UKJ",".[45-64]"
"230",201403,1,"UKC",".[05-14]"
"231",201417,1,"UKK",".[65+"
"232",201716,4,"UKJ",".[00-04]"
"233",201603,1,"UKD",".[45-64]"
"234",201340,5,"UKI",".[00-04]"
"235",201616,2,"UKF",".[65+"
"236",201643,1,"UKK",".[65+"
"237",201530,2,"UKK",".[00-04]"
"238",201718,1,"UKG",".[25-44]"
"239",201850,3,"UKK",".[65+"
"240",201915,6,"UKK",".[65+"
"241",201845,1,"UKD",".[45-64]"
"242",201926,4,"UKK",".[65+"
"243",201709,1,"UKI",".[45-64]"
"244",201801,1,"UKC",".[65+"
"245",201310,2,"UKK",".[45-64]"
"246",201921,2,"UKH",".[25-44]"
"247",201343,1,"UKC",".[45-64]"
"248",201307,1,"UKJ",".[65+"
"249",201320,1,"UKJ",".[65+"
"250",201846,1,"UKI",".[25-44]"
"251",201846,2,"UKD",".[65+"
"252",201705,7,"UKG",".[65+"
"253",201710,1,"UKE",".[65+"
"254",201310,14,"UKH",".[65+"
"255",201419,1,"UKH",".[00-04]"
"256",201809,5,"UKH",".[65+"
"257",201532,1,"UKD",".[45-64]"
"258",201913,1,"UKG",".[65+"
"259",201516,1,"UKJ",".[65+"
"260",201439,1,"UKG",".[65+"
"261",201938,1,"UKF",".[65+"
"262",201513,1,"UKH",".[25-44]"
"263",201416,1,"UKH",".[65+"
"264",201621,2,"UKD",".[65+"
"265",201509,2,"UKI",".[25-44]"
"266",201845,1,"UKE",".[65+"
"267",201746,2,"UKJ",".[65+"
"268",201729,3,"UKH",".[65+"
"269",201408,1,"UKK",".[65+"
"270",201707,1,"UKI",".[15-24]"
"271",201518,3,"UKH",".[65+"
"272",201539,1,"UKI",".[25-44]"
"273",201306,2,"UKK",".[65+"
"274",201441,2,"UKG",".[25-44]"
"275",201614,1,"UKD",".[65+"
"276",201631,5,"UKE",".[00-04]"
"277",201648,1,"UKE",".[00-04]"
"278",201913,1,"UKK",".[65+"
"279",201305,2,"UKE",".[45-64]"
"280",201407,2,"UKI",".[05-14]"
"281",201734,1,"UKH",".[65+"
"282",201311,7,"UKK",".[65+"
"283",201722,1,"UKH",".[25-44]"
"284",201649,4,"UKH",".[65+"
"285",201850,4,"UKH",".[65+"
"286",201310,2,"UKI",".[65+"
"287",201801,4,"UKE",".[25-44]"
"288",201707,1,"UKK",".[00-04]"
"289",201913,2,"UKD",".[45-64]"
"290",201352,1,"UKI",".[15-24]"
"291",201737,1,"UKK",".[15-24]"
"292",201704,1,"UKF",".[45-64]"
"293",201930,1,"UKG",".[25-44]"
"294",201423,1,"UKE",".[65+"
"295",201509,2,"UKE",".[15-24]"
"296",201805,1,"UKG",".[45-64]"
"297",201801,2,"UKC",".[00-04]"
"298",201903,6,"UKE",".[65+"
"299",201712,7,"UKI",".[00-04]"
"300",201312,1,"UKG",".[00-04]"
"301",201917,1,"UKE",".[65+"
"302",201311,2,"UKH",".[00-04]"
"303",201303,5,"UKH",".[00-04]"
"304",201813,6,"UKH",".[65+"
"305",201433,1,"UKI",".[25-44]"
"306",201849,5,"UKE",".[65+"
"307",201811,2,"UKK",".[65+"
"308",201516,1,"UKG",".[65+"
"309",201926,1,"UKG",".[25-44]"
"310",201718,5,"UKI",".[00-04]"
"311",201516,2,"UKJ",".[65+"
"312",201911,1,"UKE",".[65+"
"313",201344,1,"UKK",".[65+"
"314",201633,1,"UKC",".[15-24]"
"315",201704,4,"UKK",".[65+"
"316",201748,1,"UKF",".[45-64]"
"317",201908,1,"UKF",".[65+"
"318",201425,1,"UKI",".[65+"
"319",201321,1,"UKK",".[45-64]"
"320",201306,1,"UKD",".[65+"
"321",201618,1,"UKC",".[65+"
"322",201904,4,"UKE",".[65+"
"323",201605,3,"UKJ",".[65+"
"324",201846,1,"UKC",".[15-24]"
"325",201942,6,"UKE",".[00-04]"
"326",201302,1,"UKD",".[00-04]"
"327",201601,1,"UKD",".[65+"
"328",201739,3,"UKK",".[00-04]"
"329",201750,3,"UKE",".[65+"
"330",201821,2,"UKK",".[15-24]"
"331",201413,3,"UKK",".[65+"
"332",201451,2,"UKE",".[45-64]"
"333",201343,1,"UKE",".[65+"
"334",201912,1,"UKC",".[65+"
"335",201723,1,"UKI",".[45-64]"
"336",201503,6,"UKE",".[65+"
"337",201940,1,"UKE",".[45-64]"
"338",201643,1,"UKF",".[45-64]"
"339",201352,1,"UKG",".[65+"
"340",201801,1,"UKG",".[45-64]"
"341",201318,1,"UKD",".[45-64]"
"342",201501,2,"UKH",".[65+"
"343",201410,1,"UKG",".[65+"
"344",201517,4,"UKH",".[65+"
"345",201425,4,"UKH",".[00-04]"
"346",201518,2,"UKE",".[45-64]"
"347",201750,1,"UKC",".[65+"
"348",201804,1,"UKK",".[65+"
"349",201439,2,"UKJ",".[45-64]"
"350",201641,1,"UKG",".[45-64]"
"351",201520,1,"UKE",".[05-14]"
"352",201609,4,"UKD",".[65+"
"353",201911,1,"UKF",".[45-64]"
"354",201617,2,"UKD",".[65+"
"355",201922,1,"UKE",".[65+"
"356",201616,3,"UKE",".[65+"
"357",201415,2,"UKF",".[45-64]"
"358",201819,1,"UKF",".[65+"
"359",201924,3,"UKE",".[65+"
"360",201407,4,"UKE",".[65+"
"361",201514,6,"UKK",".[65+"
"362",201419,2,"UKH",".[05-14]"
"363",201639,2,"UKJ",".[65+"
"364",201619,3,"UKG",".[15-24]"
"365",201711,3,"UKH",".[65+"
"366",201547,1,"UKH",".[45-64]"
"367",201441,2,"UKK",".[45-64]"
"368",201748,4,"UKJ",".[65+"
"369",201852,1,"UKH",".[65+"
"370",201332,1,"UKK",".[05-14]"
"371",201551,5,"UKJ",".[65+"
"372",201803,4,"UKK",".[65+"
"373",201815,1,"UKD",".[65+"
"374",201324,1,"UKI",".[25-44]"
"375",201613,3,"UKJ",".[65+"
"376",201749,1,"UKG",".[65+"
"377",201352,2,"UKI",".[65+"
"378",201717,2,"UKJ",".[45-64]"
"379",201553,1,"UKH",".[25-44]"
"380",201309,1,"UKE",".[65+"
"381",201914,1,"UKH",".[45-64]"
"382",201324,1,"UKD",".[25-44]"
"383",201419,1,"UKH",".[45-64]"
"384",201405,2,"UKD",".[65+"
"385",201644,1,"UKJ",".[00-04]"
"386",201432,1,"UKJ",".[65+"
"387",201544,1,"UKH",".[00-04]"
"388",201731,1,"UKJ",".[65+"
"389",201915,6,"UKH",".[65+"
"390",201744,2,"UKE",".[65+"
"391",201852,1,"UKG",".[45-64]"
"392",201442,1,"UKH",".[00-04]"
"393",201851,7,"UKE",".[65+"
"394",201551,1,"UKD",".[25-44]"
"395",201819,3,"UKC",".[65+"
"396",201811,2,"UKF",".[00-04]"
"397",201527,5,"UKK",".[00-04]"
"398",201309,1,"UKE",".[45-64]"
"399",201701,1,"UKF",".[05-14]"
"400",201322,2,"UKE",".[65+"
"401",201812,2,"UKG",".[45-64]"
"402",201737,1,"UKF",".[65+"
"403",201917,2,"UKJ",".[00-04]"
"404",201403,2,"UKE",".[45-64]"
"405",201533,1,"UKJ",".[05-14]"
"406",201339,1,"UKE",".[15-24]"
"407",201512,1,"UKI",".[25-44]"
"408",201539,1,"UKF",".[65+"
"409",201331,1,"UKK",".[25-44]"
"410",201602,6,"UKF",".[65+"
"411",201539,3,"UKI",".[00-04]"
"412",201633,1,"UKE",".[25-44]"
"413",201712,1,"UKJ",".[00-04]"
"414",201805,2,"UKF",".[65+"
"415",201843,1,"UKG",".[45-64]"
"416",201919,2,"UKF",".[65+"
"417",201516,2,"UKJ",".[45-64]"
"418",201512,1,"UKI",".[25-44]"
"419",201313,1,"UKJ",".[65+"
"420",201510,5,"UKJ",".[65+"
"421",201610,2,"UKI",".[65+"
"422",201926,2,"UKK",".[65+"
"423",201940,1,"UKH",".[45-64]"
"424",201748,1,"UKF",".[65+"
"425",201750,2,"UKK",".[45-64]"
"426",201622,1,"UKE",".[45-64]"
"427",201839,1,"UKJ",".[25-44]"
"428",201803,3,"UKE",".[25-44]"
"429",201636,1,"UKD",".[25-44]"
"430",201439,1,"UKE",".[05-14]"
"431",201619,2,"UKD",".[65+"
"432",201628,1,"UKD",".[45-64]"
"433",201907,1,"UKD",".[65+"
"434",201527,1,"UKI",".[45-64]"
"435",201529,3,"UKE",".[00-04]"
"436",201802,3,"UKK",".[65+"
"437",201505,3,"UKG",".[65+"
"438",201448,1,"UKE",".[45-64]"
"439",201504,1,"UKK",".[65+"
"440",201904,5,"UKE",".[65+"
"441",201311,7,"UKI",".[05-14]"
"442",201319,10,"UKK",".[65+"
"443",201846,1,"UKD",".[00-04]"
"444",201512,2,"UKK",".[45-64]"
"445",201805,1,"UKC",".[65+"
"446",201646,1,"UKH",".[25-44]"
"447",201816,1,"UKD",".[65+"
"448",201512,1,"UKC",".[65+"
"449",201751,1,"UKD",".[45-64]"
"450",201604,3,"UKF",".[05-14]"
"451",201616,3,"UKG",".[65+"
"452",201401,1,"UKC",".[65+"
"453",201750,3,"UKE",".[45-64]"
"454",201912,1,"UKK",".[45-64]"
"455",201310,8,"UKK",".[65+"
"456",201827,1,"UKH",".[65+"
"457",201651,1,"UKJ",".[25-44]"
"458",201518,3,"UKI",".[65+"
"459",201813,2,"UKG",".[15-24]"
"460",201650,1,"UKK",".[45-64]"
"461",201918,1,"UKI",".[25-44]"
"462",201410,1,"UKI",".[45-64]"
"463",201919,2,"UKH",".[00-04]"
"464",201742,1,"UKC",".[25-44]"
"465",201314,1,"UKK",".[25-44]"
"466",201445,1,"UKH",".[65+"
"467",201638,3,"UKD",".[65+"
"468",201420,2,"UKH",".[00-04]"
"469",201710,2,"UKE",".[65+"
"470",201439,1,"UKI",".[65+"
"471",201903,1,"UKJ",".[65+"
"472",201622,2,"UKK",".[45-64]"
"473",201304,8,"UKK",".[65+"
"474",201506,1,"UKE",".[15-24]"
"475",201446,2,"UKF",".[65+"
"476",201415,3,"UKF",".[65+"
"477",201616,1,"UKJ",".[15-24]"
"478",201405,4,"UKG",".[65+"
"479",201737,1,"UKK",".[15-24]"
"480",201307,7,"UKK",".[65+"
"481",201817,1,"UKG",".[65+"
"482",201523,1,"UKD",".[65+"
"483",201645,1,"UKG",".[65+"
"484",201616,2,"UKI",".[45-64]"
"485",201405,7,"UKK",".[65+"
"486",201612,2,"UKJ",".[45-64]"
"487",201922,3,"UKI",".[00-04]"
"488",201736,1,"UKD",".[00-04]"
"489",201740,1,"UKI",".[25-44]"
"490",201501,4,"UKK",".[65+"
"491",201508,1,"UKJ",".[45-64]"
"492",201848,1,"UKE",".[25-44]"
"493",201511,2,"UKK",".[25-44]"
"494",201716,1,"UKD",".[00-04]"
"495",201335,1,"UKG",".[65+"
"496",201930,1,"UKK",".[45-64]"
"497",201828,3,"UKE",".[25-44]"
"498",201347,1,"UKG",".[65+"
"499",201409,1,"UKF",".[65+"
"500",201506,1,"UKE",".[25-44]"
"501",201328,2,"UKK",".[45-64]"
"502",201942,1,"UKE",".[45-64]"
"503",201551,1,"UKC",".[65+"
"504",201501,1,"UKF",".[65+"
"505",201651,11,"UKH",".[65+"
"506",201408,3,"UKH",".[65+"
"507",201609,1,"UKH",".[25-44]"
"508",201321,11,"UKK",".[00-04]"
"509",201751,4,"UKE",".[65+"
"510",201849,1,"UKG",".[65+"
"511",201905,2,"UKJ",".[65+"
"512",201645,1,"UKH",".[15-24]"
"513",201805,1,"UKK",".[25-44]"
"514",201752,5,"UKG",".[65+"
"515",201936,1,"UKH",".[45-64]"
"516",201612,3,"UKI",".[25-44]"
"517",201515,1,"UKD",".[45-64]"
"518",201403,3,"UKH",".[65+"
"519",201922,4,"UKE",".[65+"
"520",201837,1,"UKH",".[00-04]"
"521",201806,1,"UKE",".[25-44]"
"522",201613,1,"UKH",".[45-64]"
"523",201306,1,"UKD",".[65+"
"524",201745,4,"UKD",".[65+"
"525",201443,2,"UKI",".[25-44]"
"526",201419,1,"UKH",".[05-14]"
"527",201845,2,"UKK",".[25-44]"
"528",201749,1,"UKG",".[65+"
"529",201426,1,"UKD",".[65+"
"530",201906,3,"UKE",".[65+"
"531",201705,2,"UKG",".[25-44]"
"532",201509,1,"UKI",".[45-64]"
"533",201849,1,"UKK",".[45-64]"
"534",201849,1,"UKE",".[65+"
"535",201434,4,"UKJ",".[00-04]"
"536",201616,7,"UKG",".[65+"
"537",201906,1,"UKC",".[15-24]"
"538",201737,1,"UKC",".[00-04]"
"539",201303,4,"UKK",".[65+"
"540",201648,1,"UKH",".[65+"
"541",201307,4,"UKE",".[65+"
"542",201529,1,"UKH",".[25-44]"
"543",201330,1,"UKI",".[45-64]"
"544",201828,1,"UKC",".[65+"
"545",201303,9,"UKK",".[00-04]"
"546",201611,2,"UKJ",".[65+"
"547",201411,1,"UKE",".[45-64]"
"548",201509,2,"UKH",".[45-64]"
"549",201530,1,"UKI",".[15-24]"
"550",201647,13,"UKE",".[65+"
"551",201705,7,"UKI",".[00-04]"
"552",201406,5,"UKE",".[15-24]"
"553",201749,2,"UKI",".[65+"
"554",201749,3,"UKI",".[65+"
"555",201909,10,"UKE",".[65+"
"556",201818,3,"UKK",".[65+"
"557",201642,7,"UKK",".[00-04]"
"558",201735,1,"UKJ",".[05-14]"
"559",201451,3,"UKH",".[65+"
"560",201922,1,"UKK",".[00-04]"
"561",201336,1,"UKI",".[25-44]"
"562",201724,1,"UKJ",".[00-04]"
"563",201507,1,"UKJ",".[65+"
"564",201319,1,"UKD",".[65+"
"565",201510,4,"UKK",".[65+"
"566",201623,3,"UKD",".[65+"
"567",201607,2,"UKD",".[00-04]"
"568",201826,1,"UKG",".[25-44]"
"569",201743,4,"UKK",".[05-14]"
"570",201349,9,"UKK",".[00-04]"
"571",201441,1,"UKK",".[45-64]"
"572",201814,4,"UKC",".[65+"
"573",201604,2,"UKK",".[65+"
"574",201508,5,"UKF",".[65+"
"575",201850,1,"UKK",".[45-64]"
"576",201907,4,"UKE",".[65+"
"577",201441,1,"UKC",".[45-64]"
"578",201707,2,"UKJ",".[45-64]"
"579",201409,3,"UKJ",".[65+"
"580",201920,1,"UKJ",".[65+"
"581",201402,2,"UKH",".[65+"
"582",201932,1,"UKE",".[65+"
"583",201650,1,"UKF",".[45-64]"
"584",201701,1,"UKD",".[25-44]"
"585",201901,1,"UKF",".[45-64]"
"586",201511,2,"UKI",".[65+"
"587",201511,9,"UKF",".[65+"
"588",201812,2,"UKF",".[65+"
"589",201348,1,"UKH",".[65+"
"590",201606,2,"UKE",".[65+"
"591",201741,1,"UKF",".[65+"
"592",201803,1,"UKG",".[65+"
"593",201611,3,"UKC",".[65+"
"594",201402,1,"UKD",".[65+"
"595",201616,1,"UKJ",".[25-44]"
"596",201501,2,"UKC",".[65+"
"597",201429,1,"UKE",".[45-64]"
"598",201449,1,"UKE",".[65+"
"599",201348,1,"UKK",".[65+"
"600",201833,1,"UKK",".[15-24]"
"601",201843,1,"UKG",".[25-44]"
"602",201442,21,"UKK",".[00-04]"
"603",201502,3,"UKD",".[65+"
"604",201542,1,"UKE",".[65+"
"605",201811,5,"UKC",".[65+"
"606",201909,4,"UKD",".[45-64]"
"607",201839,1,"UKK",".[45-64]"
"608",201323,1,"UKG",".[65+"
"609",201822,3,"UKH",".[65+"
"610",201925,4,"UKE",".[65+"
"611",201801,2,"UKI",".[65+"
"612",201804,5,"UKK",".[65+"
"613",201410,1,"UKJ",".[65+"
"614",201904,1,"UKC",".[65+"
"615",201911,1,"UKC",".[65+"
"616",201426,3,"UKE",".[65+"
"617",201538,1,"UKI",".[15-24]"
"618",201504,1,"UKJ",".[00-04]"
"619",201506,2,"UKG",".[65+"
"620",201901,1,"UKK",".[65+"
"621",201814,1,"UKI",".[05-14]"
"622",201311,1,"UKI",".[45-64]"
"623",201506,4,"UKJ",".[65+"
"624",201938,1,"UKI",".[25-44]"
"625",201742,1,"UKC",".[00-04]"
"626",201350,1,"UKH",".[45-64]"
"627",201741,6,"UKJ",".[00-04]"
"628",201638,1,"UKK",".[65+"
"629",201434,1,"UKK",".[65+"
"630",201629,1,"UKD",".[15-24]"
"631",201514,1,"UKF",".[25-44]"
"632",201751,5,"UKF",".[65+"
"633",201449,5,"UKC",".[65+"
"634",201705,1,"UKF",".[45-64]"
"635",201914,1,"UKF",".[00-04]"
"636",201431,3,"UKH",".[00-04]"
"637",201741,1,"UKE",".[65+"
"638",201713,2,"UKI",".[25-44]"
"639",201844,2,"UKK",".[65+"
"640",201324,4,"UKK",".[65+"
"641",201616,1,"UKJ",".[65+"
"642",201809,4,"UKI",".[00-04]"
"643",201307,5,"UKG",".[65+"
"644",201404,1,"UKD",".[65+"
"645",201812,5,"UKK",".[65+"
"646",201511,2,"UKD",".[25-44]"
"647",201320,1,"UKK",".[65+"
"648",201825,1,"UKF",".[25-44]"
"649",201523,1,"UKK",".[65+"
"650",201931,1,"UKG",".[65+"
"651",201611,2,"UKK",".[65+"
"652",201711,1,"UKF",".[45-64]"
"653",201506,1,"UKH",".[25-44]"
"654",201704,1,"UKC",".[65+"
"655",201517,3,"UKE",".[65+"
"656",201317,9,"UKE",".[65+"
"657",201305,1,"UKJ",".[65+"
"658",201811,7,"UKC",".[65+"
"659",201928,4,"UKG",".[25-44]"
"660",201740,1,"UKG",".[65+"
"661",201807,1,"UKH",".[65+"
"662",201709,1,"UKH",".[45-64]"
"663",201443,1,"UKC",".[65+"
"664",201848,4,"UKK",".[65+"
"665",201443,4,"UKE",".[65+"
"666",201645,1,"UKI",".[65+"
"667",201445,2,"UKF",".[65+"
"668",201930,1,"UKG",".[65+"
"669",201314,9,"UKK",".[00-04]"
"670",201812,1,"UKE",".[45-64]"
"671",201706,2,"UKG",".[65+"
"672",201651,1,"UKJ",".[65+"
"673",201450,1,"UKD",".[65+"
"674",201614,1,"UKD",".[45-64]"
"675",201738,2,"UKI",".[45-64]"
"676",201707,1,"UKI",".[65+"
"677",201311,1,"UKH",".[25-44]"
"679",201832,1,"UKD",".[25-44]"
"680",201513,3,"UKD",".[45-64]"
"681",201405,1,"UKE",".[05-14]"
"682",201812,4,"UKE",".[65+"
"683",201812,2,"UKD",".[65+"
"684",201611,1,"UKG",".[25-44]"
"685",201503,12,"UKK",".[65+"
"686",201507,5,"UKF",".[65+"
"687",201433,3,"UKI",".[45-64]"
"688",201402,2,"UKK",".[65+"
"689",201830,1,"UKK",".[65+"
"690",201445,1,"UKI",".[25-44]"
"691",201839,1,"UKK",".[15-24]"
"692",201310,7,"UKI",".[65+"
"693",201616,1,"UKJ",".[25-44]"
"694",201452,2,"UKH",".[65+"
"695",201712,1,"UKI",".[05-14]"
"696",201907,1,"UKK",".[25-44]"
